name;categorie;sous-categorie
UCM - Secretariat Social;Fournisseurs;Achat courant
Nespresso;Fournisseurs;Achat courant
Smeetz SA;CA;Paiement client
KO GROUP SRL;Interco;Interco
KO MESSANCY SRL;Interco;Interco
Toyota Financial Services Belgium NV/SA;Fournisseurs;Achat courant
KO Amusement 1410 SRL;Interco;Interco
KoMini Waterloo srl;Interco;Interco
Ko Gand srl;Interco;Interco
KO GEMBLOUX SRL;Interco;Interco
KO GROUP FRANCE SAS;Interco;Interco
KO JUMP LUX S.A.R.L.;Interco;Interco
KoMini Waterloo SRL;Interco;Interco
KO Amusement 4120 SRL;Interco;Interco
A  IQ CONCEPT SAS;Interco;Interco
A  CARRE SENART;Interco;Interco
A  VILLENEUVE D'ASCQ;Interco;Interco
A  ENCAISSEMENTS CB;Interco;Interco
A  SG 01679 0109800020780578;Interco;Interco
COMPTE A COMPTE IQ BNP IQ CONCEPT SAS 48251775200010                     BICORBEI IQ CONCEPT SG COMPTE A COMPTE IQ BNP VIR SEPA 27/05/2025 08 56 40-00001 VIR SEPA 27/05/2025 08 56 40       COMPTE A COMPTE IQ BNP FR7630003010980002078057838;Interco;Interco
COMPTE A COMPIQ CONCEPT SAS IQ CONCEPT SAS COMPTE A COMPTE IQ BNP VIR SEPA 27/05/2025 08 56 40-00001 48251775200010;Interco;Interco
COMPTE A COMPIQ CONCEPT SAS IQ CONCEPT SAS COMPTE A COMPTE IQC CIC VIR SEPA 17/06/2025 21 18 39-00001 Montant d'origine : 60 000,00 EUR;Interco;Interco
VIR IQ CONCEPT SG C18D25169G10005 /COMPTE A COMPT;Interco;Interco
COMPTE A COMPTE IQ BNP IQ CONCEPT SAS 48251775200010                     BICORBEI IQ CONCEPT SG COMPTE A COMPTE IQ BNP VIR SEPA 19/06/2025 09 17 53-00001 VIR SEPA 19/06/2025 09 17 53       COMPTE A COMPTE IQ BNP FR7630003010980002078057838;Interco;Interco
COMPTE A COMPIQ CONCEPT SAS IQ CONCEPT SAS COMPTE A COMPTE IQ BNP VIR SEPA 19/06/2025 09 17 53-00001 48251775200010;Interco;Interco
COMPTE A COMPIQ CONCEPT SAS IQ CONCEPT SAS COMPTE A COMPTE CIC VIR SEPA 15/07/2025 08 00 36-00001 Montant d'origine : 65 000,00 EUR;Interco;Interco
